postcode,place,location_raw,address_raw,accepts_minigolf_card,has_club,course_types,approved_course_types,detail_url,source_plz_group,source_url,place_raw,place_addon,street_name,house_number,house_number_addon,address_extra,address_type,resolved_place,district,state,county,country,country_code,latitude,longitude,geocode_query,geocode_display_name,geocode_source,venue_name,venue_category,venue_website,venue_phone,venue_opening_hours,venue_wikipedia,venue_wikidata,osm_id,osm_type,osm_class,detail_address,detail_phone,detail_fax,detail_website,detail_email,detail_opening_hours,detail_facility_type,detail_additional_offers
01069,Dresden,01069 Dresden,Lennéstraße 9,false,false,sonstige,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Dresden,,Lennéstraße,9,,,street_address,,,,,Germany,DE,51.042529,13.7522293,"Lennéstraße 9, 01069 Dresden, Germany","Wachstube, 9, Lennéstraße, Seevorstadt-Ost/Großer Garten, Johannstadt, Altstadt, Dresden, Sachsen, 01069, Deutschland",nominatim,Wachstube,,,,,,,,,,,,,,,,,
01139,Dresden,01139 Dresden,Emilienstraße 20,false,false,sonstige,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Dresden,,Emilienstraße,20,,,street_address,,,,,Germany,DE,51.0930015,13.6914355,"Emilienstraße 20, 01139 Dresden, Germany","20, Emilienstraße, Kaditz, Pieschen, Dresden, Meißen, Sachsen, 01139, Deutschland",nominatim,,,,,,,,,,,,,,,,,,
01609,Röderaue-Frauenhain,01609 Röderaue-Frauenhain,Moselbruchweg 11,false,false,sonstige,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Röderaue-Frauenhain,,Moselbruchweg,11,,,street_address,,,,,Germany,DE,51.3901798,13.4871559,"Moselbruchweg 11, 01609 Röderaue-Frauenhain, Germany","11, Moselbruchweg, Frauenhain, Röderaue, Röderaue-Wülknitz, Meißen, Sachsen, 01609, Deutschland",nominatim,,,,,,,,,,,,,,,,,,
01665,Nieschütz,01665 Nieschütz,Riesaer Straße 13 a-d,false,false,eternit,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Nieschütz,,Riesaer Straße,13,a-d,,street_address,,,,,Germany,DE,51.2213751,13.4178334,"Riesaer Straße 13 a-d, 01665 Nieschütz, Germany","13 a-d, Riesaer Straße, Göhrisch, Nieschütz, Diera-Zehren, Meißen, Sachsen, 01665, Deutschland",nominatim,,,,,,,,,,,,,,,,,,
01734,Rabenau-Londorf,01734 Rabenau-Londorf,Gießener Str. (Burggarten),false,false,unknown,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Rabenau-Londorf,,Gießener Straße,,,Burggarten,street_without_number,Kesselbach,,Hessen,Landkreis Gießen,Deutschland,DE,50.6722209,8.8695916,"Gießener Str., 01734 Rabenau-Londorf, Germany","Gießener Straße, Londorf/Kesselbach, Kesselbach, Rabenau, Landkreis Gießen, Hessen, 35466, Deutschland",nominatim,Gießener Straße,secondary,,,,,,962252033,way,,,,,,,,,
01744,Dippoldiswalde-Paulsdorf,01744 Dippoldiswalde-Paulsdorf,Talsperre Malter,false,false,eternit,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Dippoldiswalde-Paulsdorf,,,,,Talsperre Malter,named_place,,,,,Germany,DE,50.9175638,13.6558376,"Talsperre Malter, 01744 Dippoldiswalde-Paulsdorf, Germany","Talsperre Malter, Panoramaweg, Paulsdorf, Dippoldiswalde, Malter, Dippoldiswalde, Sächsische Schweiz-Osterzgebirge, Sachsen, 01744, Deutschland",nominatim,Talsperre Malter,,,,,,,,,,,,,,,,,
01773,Altenberg,01773 Altenberg,Hauptstraße 83,false,false,eternit,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Altenberg,,Hauptstraße,83,,,street_address,,,,,Germany,DE,50.7753636,13.6895217,"Hauptstraße 83, 01773 Altenberg, Germany","Ahorn Waldhotel Altenberg, 83, Hauptstraße, Schellerhau, Altenberg, Sächsische Schweiz-Osterzgebirge, Sachsen, 01773, Deutschland",nominatim,Ahorn Waldhotel Altenberg,,,,,,,,,,,,,,,,,
01824,Königstein,01824 Königstein / Sächsische Schweiz,Am Königstein 3,false,false,sonstige,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Königstein / Sächsische Schweiz,Sächsische Schweiz,Am Königstein,3,,,street_address,,,,,Germany,DE,50.9221197,14.0511749,"Am Königstein 3, 01824 Königstein / Sächsische Schweiz, Germany","Hotel ""Neue Schänke"", 3, Am Königstein, Hütten, Königstein, Königstein/Sächs. Schw., Sächsische Schweiz-Osterzgebirge, Sachsen, 01824, Deutschland",nominatim,"Hotel ""Neue Schänke""",,,,,,,,,,,,,,,,,
01855,Sebnitz,01855 Sebnitz,Mannsgrabenweg 14,false,false,filz,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Sebnitz,,Mannsgrabenweg,14,,,street_address,,,,,Germany,DE,50.9722458,14.294296,"Mannsgrabenweg 14, 01855 Sebnitz, Germany","Forellenschänke, 14, Mannsgrabenweg, Naherholungsgebiet Forellenschänke, Hertigswalde, Sebnitz, Sächsische Schweiz-Osterzgebirge, Sachsen, 01855, Deutschland",nominatim,Forellenschänke,,,,,,,,,,,,,,,,,
01877,Demitz-Thumitz,01877 Demitz-Thumitz,Bahnhofstr. 1,false,false,unknown,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Demitz-Thumitz,,Bahnhofstr.,1,,,street_address,,,,,Germany,DE,51.1413762,14.2451993,"Bahnhofstr. 1, 01877 Demitz-Thumitz, Germany","1, Bahnhofstraße, Demitz, Demitz-Thumitz, Bautzen - Budyšin, Sachsen, 01877, Deutschland",nominatim,,,,,,,,,,,,,,,,,,
01900,Großröhrsdorf,01900 Großröhrsdorf,Arndorfer Str. 1,false,false,eternit,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Großröhrsdorf,,Arndorfer Str.,1,,,street_address,,,,,Germany,DE,,,,,,,,,,,,,,,,,,,,,,,
01917,Kamenz,01917 Kamenz,Nordstraße,false,false,beton,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Kamenz,,Nordstraße,,,,street_without_number,,,,,Germany,DE,51.3032044,14.0948602,"Nordstraße, 01917 Kamenz, Germany","Nordstraße, Kamenz - Kamjenc, Bautzen - Budyšin, Sachsen, 01917, Deutschland",nominatim,,,,,,,,,,,,,,,,,,
01968,Senftenberg-Großkoschen,01968 Senftenberg-Großkoschen,Straße zur Südsee,false,false,sonstige,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Senftenberg-Großkoschen,,,,,Straße zur Südsee,named_place,,,,,Germany,DE,51.491561,14.0450155,"Straße zur Südsee, 01968 Senftenberg-Großkoschen, Germany","Straße zur Südsee, Großkoschen, Senftenberg - Zły Komorow, Oberspreewald-Lausitz - Górne Błota-Łužyca, Brandenburg, 01968, Deutschland",nominatim,Straße zur Südsee,,,,,,,,,,,,,,,,,
01979,Lauchhammer-Grünewalde,01979 Lauchhammer-Grünewalde,Lauchstraße 99,false,false,unknown,,,0,https://www.minigolfsport.de/minigolfatlas.php?plz=0,Lauchhammer-Grünewalde,,Lauchstraße,99,,,street_address,,,,,Germany,DE,51.5070684,13.6687883,"Lauchstraße 99, 01979 Lauchhammer-Grünewalde, Germany","Golfcafé, 99, Lauchstraße, Grünewalde, Lauchhammer, Oberspreewald-Lausitz - Górne Błota-Łužyca, Brandenburg, 01979, Deutschland",nominatim,Golfcafé,,,,,,,,,,,,,,,,,
